clip	duration[ms]
common_voice_en_43160279.mp3	5868
common_voice_en_43200228.mp3	8676
common_voice_en_43238638.mp3	8208
common_voice_en_43198702.mp3	8496
common_voice_en_43197149.mp3	6480
common_voice_en_43198328.mp3	5832
common_voice_en_42772443.mp3	6516
common_voice_en_43195044.mp3	7380
common_voice_en_42809962.mp3	4536
common_voice_en_42943363.mp3	5940
common_voice_en_42780024.mp3	7596
common_voice_en_43197474.mp3	7128
common_voice_en_43382710.mp3	6120
common_voice_en_43298970.mp3	9648
common_voice_en_42764555.mp3	7920
common_voice_en_42952830.mp3	6336
common_voice_en_43182901.mp3	5832
common_voice_en_42840268.mp3	4680
common_voice_en_42781416.mp3	6876
common_voice_en_43393008.mp3	5724
common_voice_en_43425632.mp3	9144
common_voice_en_43204024.mp3	5940
common_voice_en_42789271.mp3	6156
common_voice_en_43197660.mp3	4428
common_voice_en_43160424.mp3	7200
common_voice_en_43114473.mp3	5796
common_voice_en_42706151.mp3	3996
common_voice_en_43217670.mp3	5112
common_voice_en_42779765.mp3	7092
common_voice_en_43160307.mp3	7380
common_voice_en_42779511.mp3	9288
common_voice_en_42814831.mp3	5760
common_voice_en_42770748.mp3	4536
common_voice_en_43280954.mp3	5076
common_voice_en_43199359.mp3	12816
common_voice_en_42761589.mp3	2340
common_voice_en_42706203.mp3	6480
common_voice_en_43355866.mp3	12528
common_voice_en_43197157.mp3	4932
common_voice_en_43211651.mp3	6516
common_voice_en_43214477.mp3	6948
common_voice_en_42784172.mp3	5436
common_voice_en_42790076.mp3	5580
common_voice_en_43366215.mp3	4752
common_voice_en_43281256.mp3	4356
common_voice_en_43222818.mp3	9900
common_voice_en_43209063.mp3	7200
common_voice_en_43196124.mp3	5112
common_voice_en_42905459.mp3	3456
common_voice_en_42771689.mp3	4500
common_voice_en_43196750.mp3	6228
common_voice_en_42735806.mp3	7128
common_voice_en_43415557.mp3	7776
common_voice_en_42784558.mp3	6372
common_voice_en_43004179.mp3	6084
common_voice_en_43382479.mp3	9468
common_voice_en_43193996.mp3	7704
common_voice_en_43207165.mp3	5184
common_voice_en_43202354.mp3	13068
common_voice_en_43192968.mp3	8640
common_voice_en_43393045.mp3	6048
common_voice_en_43397167.mp3	6156
common_voice_en_43204152.mp3	8172
common_voice_en_43196864.mp3	5652
common_voice_en_42779663.mp3	9108
common_voice_en_42902626.mp3	3708
common_voice_en_43394435.mp3	5796
common_voice_en_42862705.mp3	1620
common_voice_en_42784546.mp3	6732
common_voice_en_43205519.mp3	4860
common_voice_en_42746454.mp3	10440
common_voice_en_42807344.mp3	6300
common_voice_en_42862184.mp3	6228
common_voice_en_43200855.mp3	5436
common_voice_en_42769655.mp3	8316
common_voice_en_43229757.mp3	3780
common_voice_en_43182880.mp3	6660
common_voice_en_43195084.mp3	6804
common_voice_en_43199247.mp3	7200
common_voice_en_43168911.mp3	4356
common_voice_en_43187464.mp3	6228
common_voice_en_42746692.mp3	6588
common_voice_en_42800426.mp3	7020
common_voice_en_43193057.mp3	3816
common_voice_en_43198760.mp3	3096
common_voice_en_42802743.mp3	5976
common_voice_en_42754752.mp3	5580
common_voice_en_43213261.mp3	7308
common_voice_en_42970610.mp3	7740
common_voice_en_43150012.mp3	9576
