sentence_id	sentence	locale	reason
f88c245223cf2a796c4c98f882aff9f7269cbd54d3a1cd33d28d1f1e3fc30063	The Welsh Office was created to execute government policy in Wales.	en	offensive-language
f89e9101e0a488771f1d1612a238924f9a09a00f6b6e2d6e958f672590a489c2	Before deciding to become an architect he had plans to be an art-gallery owner.	en	grammar-or-spelling
f895a6eaec03f6cfbbf717f6a3610ac9d7ee9f1d64519069ece63f2ddca17ebb	A faint ghost crater lies in the mare to the northeast.	en	grammar-or-spelling
f87bbb0bdb343b48aa135afee217f2c445c735be7438b9942eaf0bff10780047	The legs are short and black as well.	en	grammar-or-spelling
f8a0fb027a553201a62b5fcb750e66e6fdd3f588bb5c108d1199098592e79460	It helps focus on the subject and not its environment.	en	grammar-or-spelling
f88ca402f43384a865766a342469364d410685ca8c2508a128bf0fda0600bcdd	While on the Cape Verde Islands Fea collected a specimen of an unknown petrel.	en	grammar-or-spelling
f8a30229fefba66e48dc365163a7d66d9e2cc1e1eabe6ba020fd5cc28296b014	The principal industries in Wallowa County are agriculture, ranching, lumber, and tourism.	en	different-language
f8c6267583eca739b844e3cfbf984f2d7c71eec5b7e7d85e74f84ba9cda25e54	Bristow was the son of a garage owner from London, and was unmarried.	en	different-language
f8c30f7e9a4f35facd310765688144342ecf93de966dc7421e21283edff76649	Finally, deprotonation of the oxocarbenium ion produces the ester.	en	difficult-pronounce
f8c8654833d3bab2a8b0c83a430e3b75ff470baecb34646549953b4e05d3901e	Even in a healthy oral environment, however, the tooth is susceptible to dental caries.	en	grammar-or-spelling
f8d19d9b436b38a3477137bfd9016065994ec450dae1c32bf2f3e919c74b6d5a	It is bounded by the comuni of Barile, Lavello, Melfi, Rionero in Vulture, Venosa.	en	different-language
08ce9a48525ee2543fd35af1fea51e374af2d7716c9f4bd96085aaa7e895de20	Amerika ya Kusini ndio chanzo cha nyanya	en	different-language
026f9bc43005864b11d77fe4282543778b992ea5e5e377e4edc3c2a05beb7610	Mazingira yanayofaa kwa kilimo cha nyanya	en	different-language
008cc12562347312b8fe77608f4af15ce1d45d6ae04e40e5250ad84830d6a109	Hifadhi kwenye sehemu yenye ubaridi	en	different-language
02e053f4a713e11a9a26f9d027bd810ba61537fa5088acfbabfcd3bb594c4c62	kinakabiliwa na changamoto mbalimbali	en	different-language
097bbb875f3c7f72b355dc22bb8f8c64c0b8b41d06bda4c096b81b5fe15b3265	Kupunguza majani ni muhimu	en	different-language
07f006fb90ba1a3f64557b81c953fa9c2519049277d48c09d9a23c2387ae2cbf	kwa aina ya vichwa vikubwa.	en	different-language
017e29cd368ae47d34466d2239162fe2c46e470e23c7039d65e2aee383c7b43d	katika shina na pia kutoa nafasi ili mwanga kupenya	en	different-language
04975966bbe02de5639eb28abb4c9f7970a01fb483d351efbeef47fb9d6eaa0e	hasa mijini, kutokana na matumizi yake	en	different-language
014d3f6b08f9cac55a3ffe47fd6b5bce46386faa4dc78398247e9c77952439b7	linalolimwa na kuliwa kwa wingi	en	grammar-or-spelling
0170730431315280f658b702acad2894835495bcbd07ce9d60e4b6ce0cc8809c	Migomba huhitaji maji mengi, hasa wakati wa kiangazi.	en	sc-different-language
04a7908fa657b072af1226d8f4c777f1d1c1b82c5fb2b95a3411c5ead7dc3fb4	Kabla ya kupanda mbegu weka mbolea	en	sc-different-language
04b5e23a747ccf6fb0977ce9f5ce341d593586cff8af2d4e634c5fcb1b346cb4	katika kila hatua na faida utakayopata.	en	sc-different-language
065dc1ab5456a68acdc00d00403acd76d015014c0cc508e442d0c039ca76199a	Nchini Tanzania kuna mikoa	en	sc-different-language
06f1540a72130d6cd4eb0a58282ff0dc3383577878f375b66eb53971f40eeb0b	Mwagilia maji ya kutosha kulingana na unyevunyevu	en	sc-different-language
09e712e0c5f6a3df9fdf52eeb2ddbc229a1f65591f81bbd4a6027128c7766cdd	Uvunaji wa nyanya	en	sc-different-language
09eebe67a72f42f379fcdb6d4daea4fd61db06b7530f80ced2d97df894548616	ikibidi tumia dawa za ukungu kama vile Copperhydroxide	en	sc-different-language
0a0c0e8bf7f4b62567b29c87e611dd87d16b62fc432895b41dc6c07e8b700f10	unaweza kumwagilia nyanya mara mbili kwa wiki.	en	sc-different-language
0a643407bb0b546ea41e159d75c75fd7908f8cf0d1d68715c388d7dc647da547	kuna haja ya kutoa mafunzo kuhusu mbinu bora	en	sc-different-language
0ab80b8a366b913456913a3083c69892661506e4bbb591033cdef52410b33943	ukungu unaoharibu nyanya.	en	sc-different-language
0ae37962827d5527b657762ddf76d3b474f82e8b3974ed93e5d4e0cae3645076	shina linakuwa limefukiwa kitaluni.	en	sc-different-language
0ae90cdd97745e4b3967a612d5b581b80b6f21381abec900b4a75404e07890fa	pia ni zao lenye faida kubwa kibiashara.	en	sc-different-language
0b0782e4e33c7a0159e993db83cc6ee79263eea7d40ad68fcaf4f07d5f0dabda	yenye rangi ya njano kwenye majani.	en	sc-different-language
0bc3df0294bcbdedf4c57c108ace1ca88b76518b4340ecc2380afa34fe22cd4f	Zao hili hulimwa pia katika nchi za Africa Mashariki,	en	sc-different-language
0bfaa8c56d6832dab9caa4208d479ec662717567427b5ffe4f0d62bc5336c0a2	kabla ya kupandikiza miche	en	sc-different-language
0c2dd810b7efd19e9a4c667822aafd0daf184a37e2b3afca4ea28e0b92b2754e	Mbolea hii inaweza kuwekwa mara mbili kabla ya mvuno wa kwanza.	en	sc-different-language
0c6bda1ffa0dadb20277dd0e6ea15eb71b09a286ca988a0da6f33b503f2478f1	migahawa, na maduka ya vyakula.	en	sc-different-language
