clip	duration[ms]
common_voice_ur_41122878.mp3	3600
common_voice_ur_41174076.mp3	6120
common_voice_ur_41178587.mp3	9576
common_voice_ur_41153780.mp3	3096
common_voice_ur_41126302.mp3	5688
common_voice_ur_41142205.mp3	7668
common_voice_ur_41156291.mp3	8496
common_voice_ur_41150516.mp3	2448
common_voice_ur_41181681.mp3	5436
common_voice_ur_40903842.mp3	5796
common_voice_ur_41182259.mp3	3060
common_voice_ur_41154123.mp3	5400
common_voice_ur_41181386.mp3	7380
common_voice_ur_41193993.mp3	4248
common_voice_ur_41133363.mp3	7308
common_voice_ur_41127347.mp3	10980
common_voice_ur_41150689.mp3	4896
common_voice_ur_41035054.mp3	3708
common_voice_ur_41175788.mp3	4356
common_voice_ur_41185245.mp3	3456
common_voice_ur_41157983.mp3	2988
common_voice_ur_41127778.mp3	3420
common_voice_ur_41180271.mp3	4320
common_voice_ur_41135965.mp3	3636
common_voice_ur_41139427.mp3	2808
common_voice_ur_41150994.mp3	7236
common_voice_ur_41118276.mp3	2880
common_voice_ur_41152646.mp3	3348
common_voice_ur_41174158.mp3	4284
common_voice_ur_41152632.mp3	3888
common_voice_ur_41130348.mp3	3528
common_voice_ur_41121989.mp3	7236
common_voice_ur_41174278.mp3	6840
common_voice_ur_41180331.mp3	4536
common_voice_ur_41126328.mp3	4068
common_voice_ur_41108621.mp3	2556
common_voice_ur_41160470.mp3	6300
common_voice_ur_41177309.mp3	3240
common_voice_ur_41126010.mp3	5076
common_voice_ur_41108576.mp3	2628
common_voice_ur_41184377.mp3	1728
common_voice_ur_41150947.mp3	4176
common_voice_ur_41150110.mp3	3636
common_voice_ur_41173083.mp3	3996
common_voice_ur_41154201.mp3	4536
common_voice_ur_41108016.mp3	8676
common_voice_ur_41150734.mp3	5148
common_voice_ur_41186381.mp3	7416
common_voice_ur_41167012.mp3	3780
common_voice_ur_41151100.mp3	6696
common_voice_ur_41119934.mp3	4788
common_voice_ur_41157973.mp3	3420
common_voice_ur_41157159.mp3	5256
common_voice_ur_41162911.mp3	3240
common_voice_ur_41103439.mp3	5148
common_voice_ur_41186921.mp3	4356
common_voice_ur_41181058.mp3	3240
common_voice_ur_41165153.mp3	4320
common_voice_ur_41145698.mp3	9216
common_voice_ur_41161207.mp3	3636
common_voice_ur_41117258.mp3	4176
common_voice_ur_41123883.mp3	2916
common_voice_ur_41141124.mp3	3528
common_voice_ur_41175543.mp3	5544
common_voice_ur_41135970.mp3	3780
common_voice_ur_41185964.mp3	4824
common_voice_ur_41174882.mp3	4968
common_voice_ur_41185529.mp3	2448
